Audience,HM F 18-39,,HM F 18-39,,HM F 18-39,,HM F 18-39,,HM F 20-59,,HM F 20-59,,HM F 20-59,,HM F 20-59,,HM F 25-49,,HM F 25-49,,HM F 25-49,,HM F 25-49
,TV,,OLV,,YT,,FB,,TV,,OLV,,YT,,FB,,TV,,OLV,,YT,,FB
,Germany,,Germany,,Germany,,Germany,,Germany,,Germany,,Germany,,Germany,,Germany,,Germany,,Germany,,Germany
,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach
180,0.516,,,,,,,141.51,0.4231,,,,,,,150.06,0.444,,,,,,
186,0.524,,,,,,,143.06,0.4263,,,,,,,150.78,0.4473,,,,,,
186,0.525,,,,,,,143.72,0.4263,,,,,,,154.09,0.4576,,,,,,
186,0.525,,,,,,,144.22,0.4264,,,,,,,154.68,0.4576,,,,,,
187,0.525,,,,,,,144.83,0.4264,,,,,,,156.53,0.4593,,,,,,
188,0.526,,,,,,,145.6,0.4269,,,,,,,156.53,0.4593,,,,,,
189,0.526,,,,,,,146.08,0.4269,,,,,,,156.53,0.4594,,,,,,
191,0.526,,,,,,,146.97,0.4275,,,,,,,157.48,0.4595,,,,,,
192,0.526,,,,,,,147.61,0.4278,,,,,,,159.2,0.4605,,,,,,
192,0.527,,,,,,,148.11,0.4287,,,,,,,160.48,0.4616,,,,,,
193,0.535,,,,,,,149.15,0.4301,,,,,,,160.58,0.4616,,,,,,
194,0.535,,,,,,,150,0.4303,,,,,,,160.76,0.4616,,,,,,
194,0.535,,,,,,,151.06,0.4312,,,,,,,160.81,0.4616,,,,,,
194,0.535,,,,,,,152.46,0.4318,,,,,,,160.81,0.4616,,,,,,
196,0.542,,,,,,,153.67,0.4335,,,,,,,161.05,0.4616,,,,,,
197,0.543,,,,,,,155.63,0.4357,,,,,,,162.39,0.4628,,,,,,
197,0.543,,,,,,,156.41,0.4361,,,,,,,163.66,0.4631,,,,,,
197,0.543,,,,,,,156.75,0.4361,,,,,,,165.04,0.4639,,,,,,
198,0.543,,,,,,,156.91,0.4362,,,,,,,165.23,0.4639,,,,,,
198,0.543,,,,,,,157.04,0.4362,,,,,,,165.86,0.4639,,,,,,
200,0.543,,,,,,,157.12,0.4362,,,,,,,166.12,0.4639,,,,,,
200,0.543,,,,,,,157.72,0.4374,,,,,,,166.36,0.4639,,,,,,
201,0.543,,,,,,,158.29,0.4393,,,,,,,166.62,0.465,,,,,,
202,0.543,,,,,,,158.75,0.4414,,,,,,,166.74,0.465,,,,,,
203,0.543,,,,,,,158.93,0.4418,,,,,,,166.86,0.465,,,,,,
203,0.543,,,,,,,160.19,0.442,,,,,,,167.54,0.4652,,,,,,
204,0.546,,,,,,,160.77,0.4426,,,,,,,168.13,0.466,,,,,,
206,0.548,,,,,,,161.27,0.4426,,,,,,,168.31,0.4663,,,,,,
209,0.548,,,,,,,161.8,0.4427,,,,,,,168.31,0.4663,,,,,,
209,0.549,,,,,,,162.28,0.4427,,,,,,,168.65,0.4679,,,,,,
210,0.55,,,,,,,163.3,0.4449,,,,,,,169.18,0.4682,,,,,,
211,0.55,,,,,,,164.81,0.4476,,,,,,,169.35,0.4694,,,,,,
212,0.551,,,,,,,166.3,0.4486,,,,,,,169.4,0.4694,,,,,,
212,0.551,,,,,,,166.66,0.4487,,,,,,,169.4,0.4694,,,,,,
213,0.551,,,,,,,167.09,0.4487,,,,,,,169.9,0.471,,,,,,
213,0.551,,,,,,,167.53,0.4491,,,,,,,170.16,0.4716,,,,,,
214,0.551,,,,,,,167.97,0.45,,,,,,,170.27,0.4717,,,,,,
214,0.551,,,,,,,168.27,0.4501,,,,,,,170.46,0.4717,,,,,,
214,0.551,,,,,,,168.54,0.4501,,,,,,,170.5,0.4717,,,,,,
215,0.552,,,,,,,168.89,0.4502,,,,,,,170.54,0.4717,,,,,,
215,0.552,,,,,,,169.79,0.4502,,,,,,,170.73,0.4718,,,,,,
216,0.552,,,,,,,170.81,0.4518,,,,,,,171.03,0.4719,,,,,,
218,0.552,,,,,,,171.87,0.452,,,,,,,171.31,0.4718,,,,,,
219,0.552,,,,,,,172.4,0.452,,,,,,,171.45,0.4718,,,,,,
220,0.552,,,,,,,172.92,0.452,,,,,,,171.58,0.4726,,,,,,
221,0.553,,,,,,,174.85,0.4522,,,,,,,171.8,0.4736,,,,,,
223,0.554,,,,,,,175.54,0.4522,,,,,,,172.38,0.4746,,,,,,
224,0.554,,,,,,,175.54,0.4522,,,,,,,173.16,0.4746,,,,,,
228,0.555,,,,,,,176.09,0.4525,,,,,,,176.61,0.4763,,,,,,
236,0.571,,,,,,,176.17,0.4525,,,,,,,177.44,0.4763,,,,,,
239,0.571,,,,,,,176.8,0.4547,,,,,,,177.85,0.4773,,,,,,
241,0.571,,,,,,,177.14,0.455,,,,,,,177.85,0.4773,,,,,,
241,0.572,,,,,,,179.75,0.4634,,,,,,,178.54,0.4773,,,,,,
242,0.572,,,,,,,180.63,0.4638,,,,,,,179.47,0.4773,,,,,,
243,0.572,,,,,,,181.22,0.4641,,,,,,,179.63,0.479,,,,,,
243,0.572,,,,,,,181.37,0.4641,,,,,,,181.18,0.4821,,,,,,
243,0.571,,,,,,,181.54,0.4641,,,,,,,183.17,0.4876,,,,,,
246,0.571,,,,,,,181.93,0.4641,,,,,,,183.3,0.4884,,,,,,
246,0.571,,,,,,,182.22,0.4642,,,,,,,183.47,0.4884,,,,,,
247,0.571,,,,,,,182.73,0.4648,,,,,,,185.57,0.4913,,,,,,
248,0.571,,,,,,,183,0.4648,,,,,,,186.43,0.493,,,,,,
248,0.571,,,,,,,183.6,0.4648,,,,,,,187.01,0.4931,,,,,,
249,0.571,,,,,,,184.17,0.4652,,,,,,,187.54,0.4951,,,,,,
249,0.571,,,,,,,184.83,0.4652,,,,,,,188.56,0.4951,,,,,,
250,0.573,,,,,,,184.94,0.4652,,,,,,,189.25,0.4958,,,,,,
250,0.573,,,,,,,188.08,0.4717,,,,,,,190.09,0.4971,,,,,,
250,0.573,,,,,,,189.67,0.4744,,,,,,,191.07,0.4984,,,,,,
251,0.574,,,,,,,190.06,0.4749,,,,,,,191.64,0.4984,,,,,,
252,0.574,,,,,,,190.49,0.4749,,,,,,,193.86,0.4991,,,,,,
253,0.574,,,,,,,191.46,0.4758,,,,,,,194.6,0.5011,,,,,,
254,0.574,,,,,,,192.06,0.4758,,,,,,,194.73,0.5013,,,,,,
254,0.574,,,,,,,195.63,0.4779,,,,,,,195.72,0.5024,,,,,,
256,0.574,,,,,,,196.32,0.4781,,,,,,,196.28,0.5024,,,,,,
256,0.574,,,,,,,199.18,0.4799,,,,,,,196.77,0.5029,,,,,,
256,0.574,,,,,,,200.6,0.4818,,,,,,,196.94,0.5036,,,,,,
258,0.575,,,,,,,200.9,0.4819,,,,,,,197.04,0.5037,,,,,,
258,0.576,,,,,,,200.9,0.4819,,,,,,,197.29,0.5039,,,,,,
259,0.576,,,,,,,201.33,0.4835,,,,,,,197.97,0.5045,,,,,,
260,0.576,,,,,,,201.94,0.4851,,,,,,,198.59,0.5057,,,,,,
261,0.576,,,,,,,202.06,0.4851,,,,,,,199.39,0.5057,,,,,,
262,0.576,,,,,,,202.68,0.4888,,,,,,,199.5,0.5057,,,,,,
262,0.576,,,,,,,202.9,0.4888,,,,,,,199.61,0.5057,,,,,,
264,0.576,,,,,,,203.17,0.4888,,,,,,,199.79,0.5057,,,,,,
264,0.576,,,,,,,203.85,0.4888,,,,,,,201.07,0.5057,,,,,,
265,0.576,,,,,,,204.95,0.489,,,,,,,201.91,0.5057,,,,,,
265,0.576,,,,,,,205.76,0.4893,,,,,,,202.79,0.5057,,,,,,
266,0.576,,,,,,,206.97,0.4908,,,,,,,204.11,0.5069,,,,,,
266,0.576,,,,,,,207.79,0.4913,,,,,,,204.35,0.5069,,,,,,
266,0.576,,,,,,,207.8,0.4913,,,,,,,205.43,0.5069,,,,,,
266,0.576,,,,,,,208.66,0.4913,,,,,,,205.93,0.5069,,,,,,
266,0.576,,,,,,,208.67,0.4913,,,,,,,206.67,0.5069,,,,,,
267,0.576,,,,,,,208.91,0.4912,,,,,,,207.33,0.5071,,,,,,
269,0.576,,,,,,,209.01,0.4912,,,,,,,207.88,0.5071,,,,,,
269,0.577,,,,,,,209.01,0.4912,,,,,,,208.28,0.5075,,,,,,
270,0.577,,,,,,,209.56,0.4912,,,,,,,209.34,0.5075,,,,,,
270,0.579,,,,,,,210.64,0.4949,,,,,,,209.34,0.5075,,,,,,
271,0.582,,,,,,,211.15,0.4952,,,,,,,212.93,0.5104,,,,,,
271,0.582,,,,,,,211.72,0.496,,,,,,,213.84,0.5105,,,,,,
271,0.582,,,,,,,212,0.496,,,,,,,214.55,0.5115,,,,,,
272,0.582,,,,,,,212.12,0.496,,,,,,,214.55,0.5115,,,,,,
272,0.582,,,,,,,212.13,0.496,,,,,,,214.55,0.5115,,,,,,
273,0.582,,,,,,,212.98,0.4961,,,,,,,215.16,0.5115,,,,,,
273,0.582,,,,,,,213.58,0.4973,,,,,,,215.23,0.5115,,,,,,
273,0.582,,,,,,,214.11,0.498,,,,,,,215.76,0.512,,,,,,
273,0.582,,,,,,,214.23,0.498,,,,,,,216.28,0.512,,,,,,
274,0.583,,,,,,,214.57,0.498,,,,,,,216.66,0.5121,,,,,,
275,0.583,,,,,,,214.67,0.4982,,,,,,,216.79,0.5121,,,,,,
275,0.583,,,,,,,214.7,0.4985,,,,,,,217.53,0.5131,,,,,,
275,0.583,,,,,,,214.74,0.4989,,,,,,,218.16,0.513,,,,,,
275,0.583,,,,,,,215.86,0.4989,,,,,,,218.58,0.5132,,,,,,
275,0.583,,,,,,,216.59,0.4989,,,,,,,218.88,0.5132,,,,,,
278,0.588,,,,,,,216.87,0.499,,,,,,,219.46,0.5144,,,,,,
278,0.588,,,,,,,217.75,0.499,,,,,,,219.58,0.5144,,,,,,
278,0.588,,,,,,,218.64,0.5009,,,,,,,219.7,0.5144,,,,,,
278,0.588,,,,,,,219.27,0.5014,,,,,,,219.97,0.5143,,,,,,
279,0.589,,,,,,,221.47,0.5046,,,,,,,221.05,0.5152,,,,,,
279,0.589,,,,,,,222.25,0.5048,,,,,,,221.5,0.5152,,,,,,
280,0.59,,,,,,,222.7,0.5048,,,,,,,221.94,0.5155,,,,,,
280,0.59,,,,,,,223.58,0.5048,,,,,,,222.44,0.5165,,,,,,
281,0.592,,,,,,,224.47,0.5048,,,,,,,222.5,0.5165,,,,,,
282,0.592,,,,,,,225.46,0.5049,,,,,,,223,0.5165,,,,,,
282,0.594,,,,,,,227.94,0.5072,,,,,,,224.16,0.5165,,,,,,
282,0.594,,,,,,,229.18,0.5082,,,,,,,224.75,0.5165,,,,,,
284,0.595,,,,,,,230.43,0.5086,,,,,,,224.75,0.5165,,,,,,
284,0.595,,,,,,,230.6,0.5087,,,,,,,225.65,0.5165,,,,,,
284,0.595,,,,,,,231.78,0.5087,,,,,,,229.36,0.5204,,,,,,
285,0.595,,,,,,,233.22,0.5092,,,,,,,230.04,0.521,,,,,,
285,0.595,,,,,,,233.37,0.5092,,,,,,,230.54,0.5218,,,,,,
286,0.599,,,,,,,233.94,0.5098,,,,,,,231.69,0.5231,,,,,,
287,0.6,,,,,,,234.02,0.5102,,,,,,,232.13,0.5231,,,,,,
288,0.6,,,,,,,234.08,0.5102,,,,,,,233.02,0.5231,,,,,,
289,0.602,,,,,,,234.55,0.5115,,,,,,,233.65,0.5231,,,,,,
291,0.607,,,,,,,234.84,0.5123,,,,,,,233.87,0.5231,,,,,,
292,0.607,,,,,,,235.47,0.5123,,,,,,,234.03,0.5231,,,,,,
292,0.607,,,,,,,236.67,0.5132,,,,,,,234.41,0.5243,,,,,,
293,0.608,,,,,,,237.05,0.5133,,,,,,,234.76,0.5249,,,,,,
293,0.608,,,,,,,237.44,0.5133,,,,,,,235.36,0.525,,,,,,
294,0.61,,,,,,,238.62,0.5138,,,,,,,235.51,0.525,,,,,,
298,0.614,,,,,,,239.25,0.5151,,,,,,,236.26,0.5255,,,,,,
299,0.614,,,,,,,240.28,0.516,,,,,,,236.76,0.5269,,,,,,
299,0.614,,,,,,,240.89,0.516,,,,,,,237.09,0.5273,,,,,,
299,0.614,,,,,,,243.59,0.5167,,,,,,,237.25,0.5273,,,,,,
300,0.615,,,,,,,244.96,0.5183,,,,,,,239.25,0.5279,,,,,,
301,0.615,,,,,,,245.89,0.5218,,,,,,,239.34,0.5278,,,,,,
301,0.615,,,,,,,247.58,0.5242,,,,,,,239.55,0.5279,,,,,,
301,0.615,,,,,,,248,0.5244,,,,,,,241.15,0.529,,,,,,
302,0.615,,,,,,,248.31,0.5244,,,,,,,242.48,0.529,,,,,,
303,0.615,,,,,,,248.41,0.5249,,,,,,,243.61,0.5306,,,,,,
304,0.616,,,,,,,248.59,0.5249,,,,,,,244.32,0.5306,,,,,,
305,0.616,,,,,,,248.87,0.5254,,,,,,,245.07,0.5316,,,,,,
306,0.616,,,,,,,249.08,0.5254,,,,,,,245.2,0.5316,,,,,,
307,0.617,,,,,,,249.4,0.5255,,,,,,,246.02,0.5334,,,,,,
308,0.618,,,,,,,250,0.5259,,,,,,,249.8,0.5347,,,,,,
309,0.618,,,,,,,251.38,0.5271,,,,,,,250.28,0.5347,,,,,,
309,0.618,,,,,,,251.96,0.5273,,,,,,,250.9,0.5347,,,,,,
310,0.618,,,,,,,252.79,0.5273,,,,,,,251.62,0.535,,,,,,
310,0.618,,,,,,,256.07,0.5302,,,,,,,251.68,0.535,,,,,,
310,0.619,,,,,,,256.55,0.5313,,,,,,,251.97,0.5358,,,,,,
311,0.619,,,,,,,256.79,0.5318,,,,,,,252.03,0.5358,,,,,,
311,0.619,,,,,,,257.11,0.532,,,,,,,253.87,0.5373,,,,,,
311,0.619,,,,,,,257.15,0.532,,,,,,,254.24,0.5373,,,,,,
312,0.62,,,,,,,257.18,0.532,,,,,,,255.59,0.5406,,,,,,
312,0.62,,,,,,,257.74,0.5325,,,,,,,256.23,0.5406,,,,,,
314,0.626,,,,,,,258.04,0.5334,,,,,,,256.62,0.5408,,,,,,
314,0.626,,,,,,,258.37,0.5341,,,,,,,256.95,0.5408,,,,,,
315,0.626,,,,,,,258.52,0.5344,,,,,,,257.84,0.5408,,,,,,
316,0.626,,,,,,,258.81,0.5344,,,,,,,258.31,0.5408,,,,,,
316,0.626,,,,,,,259.07,0.5344,,,,,,,258.64,0.5415,,,,,,
316,0.626,,,,,,,260.31,0.5348,,,,,,,259.64,0.5415,,,,,,
317,0.626,,,,,,,260.53,0.5348,,,,,,,260.1,0.542,,,,,,
317,0.626,,,,,,,261,0.5348,,,,,,,260.25,0.542,,,,,,
317,0.626,,,,,,,261.49,0.5348,,,,,,,260.42,0.5423,,,,,,
318,0.626,,,,,,,261.91,0.5348,,,,,,,261.77,0.5425,,,,,,
319,0.626,,,,,,,263.17,0.5351,,,,,,,263.13,0.543,,,,,,
320,0.626,,,,,,,263.88,0.5363,,,,,,,264.93,0.5446,,,,,,
321,0.626,,,,,,,264.3,0.5368,,,,,,,265.55,0.5451,,,,,,
324,0.626,,,,,,,264.3,0.5368,,,,,,,265.55,0.545,,,,,,
325,0.626,,,,,,,264.45,0.5368,,,,,,,265.79,0.545,,,,,,
329,0.626,,,,,,,264.85,0.537,,,,,,,266.88,0.5454,,,,,,
330,0.626,,,,,,,265.12,0.5374,,,,,,,267.77,0.5463,,,,,,
330,0.627,,,,,,,265.32,0.5376,,,,,,,267.77,0.5463,,,,,,
331,0.627,,,,,,,265.7,0.5382,,,,,,,267.77,0.5463,,,,,,
331,0.628,,,,,,,265.99,0.5385,,,,,,,267.97,0.5463,,,,,,
332,0.628,,,,,,,266.31,0.5393,,,,,,,268.15,0.5463,,,,,,
334,0.63,,,,,,,266.4,0.5394,,,,,,,268.45,0.5462,,,,,,
335,0.63,,,,,,,266.43,0.5394,,,,,,,268.8,0.5462,,,,,,
336,0.631,,,,,,,267.46,0.5401,,,,,,,269.15,0.5462,,,,,,
337,0.631,,,,,,,267.88,0.5401,,,,,,,270.08,0.5462,,,,,,
338,0.631,,,,,,,268.16,0.5401,,,,,,,270.21,0.5462,,,,,,
340,0.632,,,,,,,268.62,0.5406,,,,,,,271.47,0.5462,,,,,,
340,0.632,,,,,,,268.94,0.5406,,,,,,,271.58,0.5462,,,,,,
340,0.632,,,,,,,269.04,0.5406,,,,,,,272.05,0.5461,,,,,,
341,0.632,,,,,,,270.15,0.5409,,,,,,,272.36,0.5461,,,,,,
341,0.632,,,,,,,270.15,0.5409,,,,,,,272.81,0.5461,,,,,,
341,0.632,,,,,,,271.18,0.5415,,,,,,,273.2,0.5461,,,,,,
342,0.632,,,,,,,271.82,0.5416,,,,,,,273.38,0.5461,,,,,,
343,0.632,,,,,,,274.25,0.543,,,,,,,273.62,0.5466,,,,,,
344,0.632,,,,,,,274.86,0.5431,,,,,,,274.23,0.5476,,,,,,
345,0.632,,,,,,,276.14,0.5432,,,,,,,274.43,0.5476,,,,,,
351,0.644,,,,,,,276.61,0.5433,,,,,,,275.34,0.5476,,,,,,
353,0.645,,,,,,,277.24,0.5445,,,,,,,275.63,0.5485,,,,,,
354,0.645,,,,,,,277.48,0.5445,,,,,,,275.77,0.5485,,,,,,
355,0.646,,,,,,,277.5,0.5445,,,,,,,275.98,0.549,,,,,,
355,0.646,,,,,,,277.74,0.5445,,,,,,,276.07,0.549,,,,,,
356,0.646,,,,,,,277.8,0.5445,,,,,,,276.23,0.5493,,,,,,
357,0.646,,,,,,,280.23,0.547,,,,,,,276.64,0.5493,,,,,,
357,0.646,,,,,,,282.85,0.5482,,,,,,,276.69,0.5493,,,,,,
358,0.646,,,,,,,283.91,0.5493,,,,,,,276.71,0.5493,,,,,,
359,0.646,,,,,,,284.09,0.5493,,,,,,,276.77,0.5493,,,,,,
360,0.646,,,,,,,284.35,0.5493,,,,,,,276.82,0.5493,,,,,,
361,0.646,,,,,,,284.41,0.5493,,,,,,,278.03,0.5498,,,,,,
362,0.646,,,,,,,285.34,0.5496,,,,,,,278.43,0.5498,,,,,,
363,0.646,,,,,,,286.62,0.5497,,,,,,,279.18,0.5497,,,,,,
365,0.646,,,,,,,287.48,0.5497,,,,,,,280.46,0.5497,,,,,,
365,0.646,,,,,,,288.07,0.5497,,,,,,,281.25,0.5497,,,,,,
365,0.646,,,,,,,288.79,0.5497,,,,,,,281.88,0.5497,,,,,,
366,0.647,,,,,,,290.54,0.5497,,,,,,,281.9,0.55,,,,,,
366,0.647,,,,,,,291.47,0.5497,,,,,,,282.3,0.5507,,,,,,
366,0.648,,,,,,,291.49,0.5497,,,,,,,283.08,0.551,,,,,,
366,0.648,,,,,,,293.94,0.5507,,,,,,,283.16,0.551,,,,,,
366,0.648,,,,,,,296.18,0.5548,,,,,,,283.69,0.5514,,,,,,
366,0.648,,,,,,,296.77,0.555,,,,,,,284.64,0.5521,,,,,,
367,0.648,,,,,,,297.69,0.5552,,,,,,,284.8,0.552,,,,,,
368,0.651,,,,,,,298.26,0.5552,,,,,,,284.95,0.5521,,,,,,
368,0.653,,,,,,,298.93,0.5554,,,,,,,286.58,0.5541,,,,,,
370,0.653,,,,,,,306.24,0.5697,,,,,,,287.23,0.5541,,,,,,
371,0.653,,,,,,,306.52,0.5705,,,,,,,287.43,0.5541,,,,,,
371,0.653,,,,,,,306.96,0.5708,,,,,,,288.23,0.5541,,,,,,
372,0.654,,,,,,,307.47,0.5708,,,,,,,289.26,0.5541,,,,,,
372,0.654,,,,,,,307.72,0.5711,,,,,,,290.4,0.5542,,,,,,
372,0.654,,,,,,,308.17,0.5712,,,,,,,290.62,0.5542,,,,,,
372,0.654,,,,,,,308.74,0.5713,,,,,,,290.94,0.5549,,,,,,
373,0.658,,,,,,,310.13,0.5716,,,,,,,291.33,0.555,,,,,,
373,0.658,,,,,,,311.1,0.5716,,,,,,,292.56,0.5551,,,,,,
373,0.658,,,,,,,312.25,0.5725,,,,,,,293.22,0.5561,,,,,,
373,0.658,,,,,,,313.52,0.5725,,,,,,,293.93,0.5561,,,,,,
374,0.658,,,,,,,313.95,0.5731,,,,,,,293.95,0.5563,,,,,,
376,0.658,,,,,,,314.32,0.5735,,,,,,,294.68,0.5563,,,,,,
376,0.658,,,,,,,314.4,0.5735,,,,,,,294.87,0.5563,,,,,,
376,0.658,,,,,,,315.87,0.5742,,,,,,,295.21,0.5563,,,,,,
376,0.658,,,,,,,317.5,0.5746,,,,,,,295.29,0.5563,,,,,,
377,0.658,,,,,,,317.67,0.5746,,,,,,,295.47,0.5563,,,,,,
378,0.658,,,,,,,318.12,0.5746,,,,,,,295.95,0.5563,,,,,,
378,0.658,,,,,,,318.16,0.5746,,,,,,,296.04,0.5573,,,,,,
379,0.658,,,,,,,318.58,0.5753,,,,,,,296.17,0.5573,,,,,,
379,0.658,,,,,,,318.93,0.5754,,,,,,,297.32,0.5573,,,,,,
380,0.658,,,,,,,319.26,0.5759,,,,,,,297.59,0.5573,,,,,,
382,0.659,,,,,,,320.04,0.576,,,,,,,298.78,0.5573,,,,,,
382,0.659,,,,,,,320.86,0.5769,,,,,,,299.2,0.5573,,,,,,
382,0.659,,,,,,,322.74,0.5821,,,,,,,300.09,0.5575,,,,,,
382,0.659,,,,,,,324.91,0.5833,,,,,,,300.59,0.5575,,,,,,
383,0.659,,,,,,,325.3,0.5834,,,,,,,301.07,0.5575,,,,,,
383,0.659,,,,,,,326.68,0.5843,,,,,,,302.5,0.5575,,,,,,
383,0.659,,,,,,,327.04,0.5847,,,,,,,304.4,0.5579,,,,,,
384,0.659,,,,,,,327.52,0.5847,,,,,,,305.51,0.558,,,,,,
384,0.659,,,,,,,328.71,0.5852,,,,,,,305.94,0.558,,,,,,
384,0.663,,,,,,,330.46,0.5857,,,,,,,306.39,0.558,,,,,,
386,0.663,,,,,,,331.13,0.5857,,,,,,,307.48,0.5589,,,,,,
387,0.663,,,,,,,331.76,0.5857,,,,,,,307.96,0.5589,,,,,,
387,0.663,,,,,,,332.47,0.5857,,,,,,,308.55,0.5589,,,,,,
388,0.663,,,,,,,334.53,0.5871,,,,,,,309.05,0.5598,,,,,,
388,0.663,,,,,,,336.94,0.5885,,,,,,,309.47,0.5598,,,,,,
389,0.663,,,,,,,339.19,0.5888,,,,,,,309.61,0.5599,,,,,,
390,0.665,,,,,,,339.38,0.5888,,,,,,,310.06,0.5601,,,,,,
391,0.665,,,,,,,339.9,0.589,,,,,,,310.48,0.5608,,,,,,
393,0.665,,,,,,,340.4,0.5894,,,,,,,311.57,0.5608,,,,,,
395,0.666,,,,,,,341.05,0.59,,,,,,,311.68,0.5608,,,,,,
396,0.666,,,,,,,341.14,0.59,,,,,,,311.82,0.5608,,,,,,
397,0.667,,,,,,,341.48,0.59,,,,,,,312.59,0.5607,,,,,,
398,0.667,,,,,,,342.67,0.5905,,,,,,,312.91,0.5609,,,,,,
398,0.667,,,,,,,343.48,0.5906,,,,,,,313.24,0.5623,,,,,,
399,0.667,,,,,,,344.76,0.5909,,,,,,,313.7,0.5632,,,,,,
402,0.668,,,,,,,345.85,0.591,,,,,,,314.89,0.5633,,,,,,
403,0.668,,,,,,,346.49,0.591,,,,,,,315.59,0.5643,,,,,,
405,0.668,,,,,,,349.9,0.5935,,,,,,,316.14,0.5648,,,,,,
406,0.668,,,,,,,350.63,0.5949,,,,,,,316.84,0.5659,,,,,,
406,0.669,,,,,,,350.92,0.5952,,,,,,,317.07,0.5659,,,,,,
407,0.669,,,,,,,351.14,0.5952,,,,,,,318.16,0.5659,,,,,,
407,0.669,,,,,,,351.22,0.5952,,,,,,,318.74,0.5659,,,,,,
408,0.669,,,,,,,351.4,0.5955,,,,,,,319.43,0.5659,,,,,,
409,0.67,,,,,,,351.51,0.5955,,,,,,,319.87,0.5659,,,,,,
409,0.67,,,,,,,352.7,0.5988,,,,,,,321.03,0.5663,,,,,,
409,0.67,,,,,,,353.33,0.5989,,,,,,,321.71,0.5664,,,,,,
410,0.671,,,,,,,353.8,0.5989,,,,,,,322.6,0.5663,,,,,,
411,0.671,,,,,,,354.05,0.599,,,,,,,323.53,0.5684,,,,,,
411,0.671,,,,,,,354.49,0.599,,,,,,,324.3,0.5693,,,,,,
412,0.671,,,,,,,355.56,0.5994,,,,,,,327.41,0.5706,,,,,,
413,0.671,,,,,,,356.01,0.5994,,,,,,,327.41,0.5706,,,,,,
414,0.671,,,,,,,356.88,0.5994,,,,,,,328.09,0.5707,,,,,,
415,0.671,,,,,,,357.97,0.5995,,,,,,,329.81,0.5721,,,,,,
415,0.671,,,,,,,358.5,0.5995,,,,,,,330.18,0.5723,,,,,,
416,0.671,,,,,,,358.99,0.5995,,,,,,,330.56,0.5734,,,,,,
418,0.671,,,,,,,360.61,0.6006,,,,,,,332.25,0.5741,,,,,,
418,0.671,,,,,,,361.49,0.6008,,,,,,,332.64,0.5741,,,,,,
420,0.671,,,,,,,362.72,0.6008,,,,,,,333.22,0.5747,,,,,,
421,0.671,,,,,,,362.75,0.6008,,,,,,,333.6,0.5747,,,,,,
429,0.675,,,,,,,362.75,0.6008,,,,,,,334.17,0.5748,,,,,,
434,0.682,,,,,,,364.19,0.602,,,,,,,334.49,0.5749,,,,,,
434,0.682,,,,,,,366.96,0.6027,,,,,,,335.32,0.5749,,,,,,
434,0.682,,,,,,,367.39,0.6027,,,,,,,335.32,0.5749,,,,,,
434,0.682,,,,,,,367.76,0.6027,,,,,,,337.74,0.5795,,,,,,
435,0.682,,,,,,,368.12,0.6028,,,,,,,337.98,0.58,,,,,,
436,0.682,,,,,,,368.81,0.6028,,,,,,,338.36,0.5806,,,,,,
436,0.682,,,,,,,369.33,0.6028,,,,,,,338.4,0.5806,,,,,,
437,0.682,,,,,,,369.33,0.6028,,,,,,,338.8,0.5806,,,,,,
437,0.682,,,,,,,369.41,0.6028,,,,,,,338.83,0.5806,,,,,,
438,0.682,,,,,,,369.84,0.6028,,,,,,,339.2,0.5806,,,,,,
439,0.682,,,,,,,370.18,0.6028,,,,,,,339.4,0.5806,,,,,,
440,0.682,,,,,,,370.53,0.6028,,,,,,,339.4,0.5806,,,,,,
442,0.683,,,,,,,370.97,0.6028,,,,,,,340.56,0.5806,,,,,,
443,0.683,,,,,,,371.49,0.6029,,,,,,,340.99,0.5806,,,,,,
444,0.683,,,,,,,371.71,0.6029,,,,,,,342.69,0.5806,,,,,,
444,0.683,,,,,,,371.82,0.603,,,,,,,342.83,0.5806,,,,,,
444,0.683,,,,,,,373.11,0.6034,,,,,,,342.94,0.5806,,,,,,
447,0.683,,,,,,,374.98,0.6035,,,,,,,344.71,0.5806,,,,,,
447,0.683,,,,,,,374.98,0.6035,,,,,,,346.39,0.5821,,,,,,
447,0.683,,,,,,,377.89,0.6042,,,,,,,347.29,0.5824,,,,,,
447,0.683,,,,,,,379.72,0.6078,,,,,,,347.87,0.5824,,,,,,
447,0.683,,,,,,,383.99,0.6112,,,,,,,348.27,0.5824,,,,,,
448,0.684,,,,,,,384.07,0.6112,,,,,,,348.27,0.5824,,,,,,
453,0.685,,,,,,,384.61,0.6112,,,,,,,348.27,0.5824,,,,,,
454,0.685,,,,,,,385.86,0.6112,,,,,,,349.25,0.5824,,,,,,
454,0.686,,,,,,,386.41,0.6112,,,,,,,349.25,0.5824,,,,,,
455,0.687,,,,,,,387.36,0.6112,,,,,,,350,0.5824,,,,,,
455,0.687,,,,,,,389.41,0.6117,,,,,,,350.01,0.5824,,,,,,
455,0.687,,,,,,,390.16,0.6117,,,,,,,351.35,0.5828,,,,,,
456,0.687,,,,,,,390.3,0.6117,,,,,,,351.76,0.5828,,,,,,
