Audience,HM F 18-39,,HM F 18-39,,HM F 18-39,,HM F 18-39,,HM F 20-59,,HM F 20-59,,HM F 20-59,,HM F 20-59,,HM F 25-49,,HM F 25-49,,HM F 25-49,,HM F 25-49
,TV,,OLV,,YT,,FB,,TV,,OLV,,YT,,FB,,TV,,OLV,,YT,,FB
,Germany,,Germany,,Germany,,Germany,,Germany,,Germany,,Germany,,Germany,,Germany,,Germany,,Germany,,Germany
,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach,,1+ Reach
23,0.128,314.7353362,0.297567954,55.10729614,15.16452074,314.8385122,0.684436052,19.13,0.1174,134.3921808,0.196701283,134.4346549,0.318339951,44.12950519,12.95051924,12.91,0.087,209.7235462,0.238322212,49.4184938,14.48999047,209.5759962,0.441033365
25,0.133,329.0414878,0.30472103,57.51072961,15.59370529,328.7590272,0.704777682,20.13,0.1189,140.5009163,0.200366524,140.6169395,0.328392792,46.18204032,13.31704337,13.21,0.09,219.2564347,0.243088656,51.59199237,14.87130601,219.2779886,0.45383756
26,0.136,343.3476395,0.310443491,60.08583691,16.02288984,343.4443491,0.725119313,20.74,0.119,146.6096518,0.204031765,146.728033,0.337775443,48.16127062,13.62248015,21.5,0.1677,228.7893232,0.246901811,53.87988561,15.25262154,229.0876835,0.466641754
29,0.152,357.6537911,0.316165951,62.48927039,16.30901288,358.129671,0.745460944,21.01,0.1204,152.7183873,0.207697007,152.8495174,0.347158094,50.21380574,13.92791692,22.28,0.1712,238.3222116,0.250714967,56.05338418,15.63393708,238.3523928,0.478734604
30,0.153,371.9599428,0.323319027,65.06437768,16.59513591,372.3583548,0.764606009,26.96,0.1638,158.8271228,0.211362248,158.9709957,0.356540745,52.19303604,14.2333537,22.72,0.1741,247.8551001,0.255481411,58.34127741,15.91992374,247.8169113,0.490827455
30,0.158,386.2660944,0.329041488,67.46781116,17.02432046,386.0585551,0.782554506,29.54,0.1817,164.9358583,0.214416616,165.166909,0.365923396,54.17226634,14.53879047,23.11,0.1744,257.3879886,0.259294566,60.62917064,16.30123928,257.5655195,0.502920305
31,0.159,400.5722461,0.334763948,70.04291845,17.31044349,400.8162518,0.801699571,29.67,0.1829,171.0445938,0.218081857,171.1442883,0.374635858,56.22480147,14.84422724,23.25,0.1743,266.920877,0.262154433,62.80266921,16.58722593,266.7406673,0.514301811
33,0.165,414.8783977,0.339055794,72.61802575,17.59656652,414.6658798,0.818451502,29.84,0.1833,177.1533293,0.221136225,177.1216677,0.38334832,58.20403177,15.14966402,23.37,0.1742,276.4537655,0.265967588,65.09056244,16.96854147,276.4570829,0.525683317
35,0.174,429.1845494,0.344778255,75.02145923,17.88268956,429.5047496,0.8364,30.28,0.1842,183.2620648,0.224190593,183.5588454,0.392730971,60.25656689,15.45510079,23.56,0.1745,285.986654,0.269780744,67.37845567,17.25452812,286.284795,0.537064824
36,0.174,443.490701,0.350500715,77.59656652,18.31187411,443.3543777,0.853151931,31.22,0.1863,189.3708002,0.22724496,189.2668662,0.400773244,62.23579719,15.69945021,23.98,0.1764,295.5195424,0.27264061,69.55195424,17.54051478,295.522307,0.547734986
38,0.178,457.7968526,0.353361946,80,18.59799714,458.3691702,0.871100429,32.25,0.1909,195.4795357,0.229688454,195.4821197,0.409485706,64.21502749,16.00488699,24.61,0.1809,305.0524309,0.275500477,71.83984747,17.82650143,305.3978742,0.559116492
